F1 Values,F2 Values,Energy Values,MFCC Values,Spectral Magnitudes,Spectral Peaks,Speaking Rate,Pitch Peaks,Loudness Values,Pitch Counter
nan,nan,0.0008842999,"[-133.48589     209.39778      -4.6365304    -6.5254154    14.865486
  -11.401339      0.57386345    7.172954     -9.554107    -12.250786
  -10.573316     -4.3529553    -1.6145085 ]",4445.995,[ 46.875  117.1875 257.8125 398.4375],53.42857142857142,31,0.0008842999,129
nan,nan,0.076392494,"[-126.14182    201.06879      1.8152356    2.1004272   12.073119
  -14.135567     3.864371     5.60304    -12.312554   -10.367785
  -11.582181    -7.4319243   -2.2425883]",7699.6523,[117.1875 234.375  398.4375],47.14285714285714,55,0.076392494,2
nan,nan,0.1528733,"[-127.044      220.81096     -7.0235       1.5925411   16.913733
  -11.081429     6.3700113    2.6636436  -13.506508    -8.2929945
  -13.533201    -6.2707896    1.4950497]",12510.381,[ 70.3125 328.125  398.4375],37.42857142857142,53,0.1528733,3
nan,nan,0.18336986,"[-155.63756    220.92664     -5.8689756   -7.968059     9.365735
  -11.884159     6.147466     1.8839984  -14.908696    -4.3208494
   -5.32395     -5.475987     2.1499014]",17478.148,[304.6875 375.    ],35.14285714285714,52,0.18336986,7
nan,nan,0.1769211,"[-1.4704211e+02  2.1158394e+02 -1.0908998e+00 -3.2147071e+00
  1.2033671e+01 -9.4553080e+00  2.9647892e+00 -8.8749021e-02
 -1.0195589e+01 -3.5160415e+00 -1.0743411e+01 -9.6256437e+00
  1.4681476e+00]",20498.316,[140.625  234.375  398.4375],42.857142857142854,49,0.1769211,25
nan,nan,0.12162603,"[-139.67311    221.82458     -2.4492013   -2.914683    23.272486
   -5.3512497   -4.8978443   -3.5791955   -9.160581    -3.9863951
   -9.852226    -8.821373    -1.1629924]",19347.805,[ 70.3125 257.8125 328.125 ],45.14285714285714,48,0.12162603,24
nan,nan,0.06456185,"[-142.134      202.91574    -10.23879      5.5937552   16.562834
  -14.3569145    4.439434     2.6260362  -13.008181    -6.1401734
  -10.031436    -7.5271916    2.0435143]",18013.229,[ 93.75   164.0625 398.4375],62.57142857142856,48,0.06456185,59
nan,nan,0.056646395,"[-146.3432      217.11874     -16.633427     -0.27169532   25.133938
   -5.120667      5.34258      -0.889109    -15.174524     -3.9429402
   -8.685754     -7.212051      3.6281343 ]",17011.496,[ 46.875  257.8125],47.99999999999999,48,0.056646395,23
nan,nan,0.07226686,"[-235.85474    159.13927      8.354473     6.987392    -2.9965494
  -14.666496     2.6761212   -2.3042407   -8.233958   -11.071263
   -8.070536     1.3893347  -12.545416 ]",16199.215,[117.1875 351.5625],40.857142857142854,45,0.07226686,6
nan,nan,0.1413363,"[-178.14287    188.0939     -19.503689    18.410934    22.385603
  -13.940925    -3.1260362   -8.175839    -6.8839254   -0.4580059
   -6.697623    -3.2437818   -7.4736867]",18144.236,[ 46.875 187.5  ],42.28571428571428,44,0.1413363,4
nan,nan,0.22336951,"[-225.59262    153.85953    -22.35091      9.862776     1.1164167
  -18.369402     8.736866    -5.5831947  -16.19853     -8.238016
   -8.093121    -1.4529144   -8.384275 ]",18690.846,[ 46.875 281.25 ],61.42857142857142,52,0.22336951,3
nan,nan,0.28574142,"[-233.8239      171.15912       9.1073265    -2.1258614    11.192164
    8.451064     13.733518      2.3716476    -3.5186758    -0.39695296
   -1.1164149     3.7560396    -2.3043265 ]",18622.453,[ 23.4375 140.625  351.5625 398.4375],60.28571428571428,53,0.28574142,3
nan,nan,0.30262056,"[-191.90111    154.42651      6.89597     19.155901    17.547989
   -5.503789     1.2708951   -2.7361243   -4.4380984   -1.1222732
   -0.6190989    1.4834306   -7.4691157]",14368.115,[ 46.875  187.5    257.8125],51.14285714285714,78,0.30262056,3
nan,nan,0.25722486,"[-151.50906    190.2961     -41.095478    19.645895    15.117703
  -24.569164    11.297672    -2.0649908  -17.614227     1.1019768
   -3.81576     -8.098238    -5.886278 ]",7629.883,[ 46.875   93.75   351.5625 398.4375],50.57142857142856,77,0.25722486,3
nan,nan,0.23119615,"[-2.0032153e+02  1.7621451e+02  2.4220743e+00  9.9376678e+00
  1.4804694e+01 -5.9746618e+00 -5.2305795e-02 -2.4768925e+00
 -2.6144648e+00 -7.8488660e-01 -7.9772580e-01 -5.9864622e-01
 -1.2884498e+01]",3043.0093,[ 46.875  187.5    257.8125 304.6875 398.4375],34.857142857142854,75,0.23119615,13
nan,nan,0.20336941,"[-187.87018     185.59709      -1.0905255    14.83931      17.74138
   -7.0380507    -0.8751971    -5.9706244     1.0476371     6.0832667
   -3.7273014    -0.53181887   -5.1258817 ]",2130.7905,[ 23.4375  93.75   187.5    257.8125 304.6875 398.4375],42.857142857142854,49,0.20336941,7
nan,nan,0.216208,"[-184.70341    199.91405      2.7164936    1.5096226    5.5832562
   -9.723011     2.8201606   -1.2632625   -3.264252    -2.1201653
   -3.920477     3.8131924   -3.354617 ]",1820.8612,[ 93.75   234.375  328.125  398.4375],36.857142857142854,48,0.216208,8
nan,nan,0.20182548,"[-178.14287    188.0939     -19.503689    18.410934    22.385603
  -13.940925    -3.1260362   -8.175839    -6.8839254   -0.4580059
   -6.697623    -3.2437818   -7.4736867]",1479.9348,[ 23.4375  93.75   164.0625 234.375  351.5625],42.28571428571428,47,0.20182548,12
nan,nan,0.19066602,"[-194.0446     190.56409      6.067802     6.8136597   15.760184
   -7.635441     1.1809871    2.460361    -6.4752073   -6.690741
   -3.7272363   -0.5028754   -6.9111433]",1163.7041,[ 23.4375  93.75   210.9375],54.57142857142856,46,0.19066602,15
nan,nan,0.15812984,"[-145.75368     181.32715     -38.2352       19.77087       9.05687
  -22.01159      17.195467     -1.7637143   -14.914443      2.5230322
   -5.4713893    -2.2356384     0.24878407]",3116.8108,[ 46.875  398.4375],49.71428571428571,45,0.15812984,19
nan,nan,0.11009904,"[-194.0446     190.56409      6.067802     6.8136597   15.760184
   -7.635441     1.1809871    2.460361    -6.4752073   -6.690741
   -3.7272363   -0.5028754   -6.9111433]",9209.189,[ 23.4375 375.    ],54.57142857142856,44,0.11009904,21
nan,nan,0.05645825,"[-171.84348     177.89375     -25.510769     15.122909     10.446679
  -20.533974     12.339654      4.0245705   -10.213315      1.8294355
   -1.5191096    -0.82608265   -2.1303449 ]",10447.466,[234.375  351.5625],58.28571428571428,45,0.05645825,64
nan,nan,0.015758574,"[-169.00308    199.88338    -26.202068     8.528369    18.209375
   -9.091798    -3.014062    -5.3008738    3.2676685   -6.099599
  -14.31849      1.7826127   -7.941829 ]",12642.555,[ 70.3125 187.5   ],40.857142857142854,47,0.015758574,88
nan,nan,0.013231833,"[-227.6817      152.05905      -8.911156      5.485909     12.073612
  -17.387123     -0.23198296    7.990346     -7.0674057    -8.096665
   -2.7299902    -0.68391144   -6.361256  ]",12860.059,[ 46.875 375.   ],43.71428571428571,48,0.013231833,92
nan,nan,0.010875353,"[-2.4758153e+02  1.1452851e+02  1.6154289e-02  8.3863974e+00
  6.2041149e+00 -1.1607466e+01  3.0827072e+00 -4.2375347e-01
 -9.8286991e+00 -3.3911109e+00 -4.7986341e+00 -4.2734032e+00
 -3.5021975e+00]",17728.523,[234.375],57.71428571428571,35,0.010875353,118
nan,nan,0.00863627,"[-259.19766    132.56305      3.8971841    6.1375775    6.1310835
  -15.536295    -6.304368    -0.8575821   -6.072899    -9.5148535
   -9.718408    -3.5195618   -5.255548 ]",19474.342,[ 70.3125 164.0625 234.375  398.4375],39.99999999999999,46,0.00863627,83
nan,nan,0.026087193,"[-233.705      123.850746   -17.838852    12.493133     8.313674
  -17.466505     3.4330626   -1.0014734  -11.17941     -3.5902617
   -4.763057    -5.303552    -6.0864296]",18574.42,[ 23.4375 117.1875 187.5    257.8125 398.4375],48.85714285714285,45,0.026087193,79
nan,nan,0.12378606,"[-191.61812    164.1946     -26.894905    -4.625959     8.041818
   -5.405069    -1.1713035  -21.128153   -11.1097145    5.2809916
   -9.682827    -6.416537    -2.7059524]",14177.548,[ 93.75   234.375  351.5625],78.85714285714285,47,0.12378606,11
nan,nan,0.16341995,"[-237.93147    164.47163     -5.5795836   -8.642148     1.3043082
   -1.2932485    4.20234    -14.809646   -15.023831    -1.1367149
   -1.9009088   -1.9592489   -9.473401 ]",11987.932,[ 93.75   210.9375 398.4375],70.85714285714285,81,0.16341995,10
nan,nan,0.16382903,"[-225.49924    155.6        -25.465513    -8.03232     15.022295
   -1.2039016   -6.048526   -10.959952    -8.970003   -14.638582
  -10.776494     1.9911959  -13.331842 ]",12402.664,[ 46.875  304.6875],26.28571428571428,83,0.16382903,6
nan,nan,0.2103335,"[-255.22772    156.70567    -25.408327    -6.811689     2.437604
   -4.87602      9.842825    -6.7294254  -13.781044    -5.974146
   -0.8233174    4.059679    -7.5241075]",15263.299,[140.625],42.57142857142856,58,0.2103335,20
nan,nan,0.28092957,"[-145.75368     181.32715     -38.2352       19.77087       9.05687
  -22.01159      17.195467     -1.7637143   -14.914443      2.5230322
   -5.4713893    -2.2356384     0.24878407]",16665.545,[ 46.875 281.25 ],49.71428571428571,90,0.28092957,5
nan,nan,0.32614762,"[-203.08391     201.15935       7.7002144    14.203883     13.057951
   -9.5855        6.129649      4.154753      1.2038295     1.1464154
   -5.2300673     0.82025605   -4.6871266 ]",14340.408,[ 23.4375 140.625  375.    ],69.71428571428571,91,0.32614762,7
nan,nan,0.31122595,"[-1.9892685e+02  2.0140405e+02  3.7907581e+00  2.4127645e+00
  1.5464847e+01  6.9490612e-02  4.0835643e+00 -3.9611738e+00
 -1.5928600e+00  4.5348043e+00 -4.8518648e+00 -1.5732648e+00
 -1.1055663e+00]",15745.303,[ 46.875  234.375  351.5625],63.14285714285713,66,0.31122595,7
nan,nan,0.26619112,"[-1.9434010e+02  2.0606987e+02 -2.1618797e+01  5.2332902e+00
  2.2068560e+01  4.0295836e-01  1.1599570e+01 -9.3046684e+00
 -1.3863489e+01  7.6522317e+00 -4.6347927e-02 -6.0774717e+00
 -3.4994886e+00]",15711.145,[ 70.3125 187.5    398.4375],64.57142857142857,67,0.26619112,3
nan,nan,0.21377946,"[-1.9176648e+02  1.8922433e+02 -9.9728203e+00  8.2951984e+00
  1.6153053e+01  1.1618361e-02  1.2484208e+01 -9.0573940e+00
 -9.3882246e+00  1.1247863e+01 -3.3834743e+00 -6.7627687e+00
  1.9216770e+00]",16509.271,[ 46.875  257.8125 328.125  398.4375],48.57142857142856,67,0.21377946,7
nan,nan,0.22708848,"[-171.94673     175.59229      -6.088585      7.8097453     1.5213778
   -0.45426548   17.617535    -11.4761      -10.88251       7.5514913
   -1.5710949    -4.4436717    -4.5787797 ]",13153.188,[117.1875 164.0625 257.8125 351.5625],59.42857142857142,32,0.22708848,3
nan,nan,0.25358796,"[-164.97397     199.16942     -16.804106     13.509801     16.104057
   -1.6063964    15.30709     -10.910123    -13.170174      8.501955
    0.53380436   -3.1343045    -1.4219229 ]",10490.961,[ 23.4375  93.75   187.5    281.25   328.125  398.4375],46.57142857142856,31,0.25358796,3
nan,nan,0.27002275,"[-201.15439     195.63788     -15.523586      5.0968647    17.177843
   -1.6298584    11.573206     -3.9310534    -8.272277      4.6336756
   -1.6317394     0.25748062   -2.5208824 ]",3682.8823,[ 23.4375 398.4375],57.71428571428571,30,0.27002275,8
